Date,WIL5000,WIL5000:BofA_AAA,WIL5000:BofA_BBB,WIL5000:BofA_CCC,WIL5000:Gold
2015-08-06,0.9999999999920568,-0.27374660945594437,0.03357129162993567,0.43821518401348225,-0.41333021833349404
2015-08-07,0.9999999999914838,-0.28562024959635834,0.026749373833756005,0.4484567632820336,-0.4172377777624956
2015-08-10,0.9999999999914976,-0.299032407914726,0.015713468644193315,0.45024279893158464,-0.42948890254687666
2015-08-11,0.9999999999918537,-0.3112794178361525,0.008174998212350995,0.45658086724581043,-0.43563307951729546
2015-08-12,0.9999999999908139,-0.32375862089993673,9.055734944548594e-05,0.4599775842991221,-0.4436108158067141
2015-08-13,0.9999999999909012,-0.3356141293766554,-0.00826015265694557,0.46375039534690055,-0.4491674413845667
2015-08-14,0.999999999991152,-0.349050331221601,-0.019466181247239242,0.46386754014491455,-0.45383776031589645
2015-08-17,0.9999999999913555,-0.3595069652218973,-0.030173808814966892,0.4553141984153104,-0.458028896658376
2015-08-18,0.9999999999908965,-0.3733963939920459,-0.043008723619534076,0.4493969999105761,-0.4605407999090967
2015-08-19,0.9999999999905884,-0.3847336215956621,-0.05128924240609129,0.44828878418417145,-0.4608518198629638
2015-08-20,0.9999999999896448,-0.3919174747046387,-0.050782598891592874,0.4611029907128023,-0.45340217554372164
2015-08-21,0.9999999999892215,-0.39310409445480876,-0.04124716245794819,0.48814075526475936,-0.4366651707945869
2015-08-24,0.9999999999908653,-0.3844613380266174,-0.019715957152947803,0.5321801917016357,-0.4059146161488983
2015-08-25,0.9999999999920273,-0.35516893946284295,0.018557562960160815,0.5672207426515106,-0.357205619247854
2015-08-26,0.9999999999916497,-0.3377283417333277,0.04602703313524669,0.5931491738420768,-0.32644489419299316
2015-08-27,0.9999999999916586,-0.33442331784731716,0.058476013062501594,0.6086241443077243,-0.3078883659933495
2015-08-28,0.9999999999915835,-0.3322344691282815,0.06844180136939995,0.6199222319326008,-0.2944676186772137
